"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.3726836	0.2643345	0.3623740	0.8043362	0.3751750	0.8300751	0.7745205	0.6211513	0.7196954
0.7331094	0.0000000	0.3771581	0.6002870	0.1510230	0.3396784	0.5208251	0.6787224	0.7350115	0.7922641
0.7070529	0.1391272	0.0000000	0.3730533	0.0791767	0.4025691	0.6641803	0.8045297	0.7220312	0.6658928
0.8450825	0.1071007	0.6167796	0.0000000	0.1489169	0.2836348	0.1099868	0.6342242	0.5874284	0.7160394
0.8780137	0.1364529	0.4261411	0.5616994	0.0000000	0.3271487	0.5416993	0.5681723	0.7343038	0.7933364
0.6164494	0.3975987	0.4614097	0.6272800	0.0947163	0.0000000	0.4606635	0.5924707	0.7374282	0.7962721
0.6906661	0.0855962	0.3150332	0.2712395	0.0843933	0.3024242	0.0000000	0.7503346	0.8041040	0.6355293
0.7996258	0.2786197	0.3753798	0.6637898	0.1194226	0.6322827	0.5464286	0.0000000	0.7722994	0.6917469
0.7928387	0.1223010	0.2351013	0.3983948	0.1357722	0.2983418	0.6929004	0.7674369	0.0000000	0.0362879
0.7939821	0.1399857	0.4215866	0.3636434	0.1241278	0.3397100	0.6154742	0.6776090	0.7247379	0.0000000
0.7472648	0.0145174	0.2768379	0.5924924	0.1137333	0.4199753	0.6704619	0.7873434	0.5851015	0.6379321
0.1952416	0.0666675	0.4668403	0.7665067	0.5201448	0.2495804	0.3279500	0.7170845	0.7695890	0.6548019
0.7684065	0.1396432	0.1299352	0.6305152	0.0016216	0.2795217	0.5784058	0.6209451	0.5909760	0.6678004
0.4200291	0.1071710	0.3394158	0.6284330	0.2198180	0.3295082	0.6401604	0.6728220	0.4711612	0.8043124
0.6475681	0.0236604	0.3494707	0.5407625	0.0477348	0.1340377	0.5038767	0.4542435	0.6125342	0.6828942
0.2203427	0.1879857	0.3618787	0.5945139	0.4412289	0.3384261	0.4117165	0.5654680	0.6212083	0.7913979
0.6844843	0.1317679	0.1523321	0.7433527	0.1428599	0.3288338	0.6494312	0.7461721	0.8482142	0.6229009
0.5129848	0.1413919	0.4101096	0.6492221	0.0628648	0.3404475	0.4030242	0.6686166	0.7033350	0.6574417
0.6793074	0.2225431	0.4616032	0.6674869	0.0319569	0.6963535	0.4223407	0.0246885	0.7339145	0.7638362
0.4114508	0.2648979	0.5387698	0.7322079	0.2660955	0.6220112	0.1792414	0.1225288	0.6937271	0.8356205
0.3898410	0.0722337	0.3478002	0.6396958	0.3456091	0.3160643	0.6244579	0.6492305	0.6661835	0.6923661
0.8357763	0.0357751	0.4121334	0.6607454	0.1485260	0.3326363	0.4636410	0.8164285	0.7763790	0.5841345
0.6812331	0.0840938	0.2647904	0.7067496	0.1658057	0.2568047	0.5354631	0.7055173	0.6845420	0.7791802
0.6802011	0.0607266	0.4119282	0.4466983	0.0742647	0.2900926	0.4754313	0.5998749	0.6775331	0.7786995
0.6363000	0.0750232	0.4103195	0.7210109	0.1224172	0.2532243	0.4780143	0.6185092	0.6573481	0.6908296
0.6742165	0.1150666	0.3249278	0.6523474	0.1544049	0.1630253	0.5961106	0.7112882	0.7959911	0.6985576
0.7705951	0.1163645	0.2482135	0.5218381	0.1092644	0.2745215	0.3586357	0.6390914	0.6551592	0.6830314
0.8163943	0.1783586	0.5012037	0.6765084	0.1001786	0.5216254	0.4134679	0.3217026	0.6653574	0.6734377
0.7477993	0.1089892	0.4137001	0.7156928	0.1153215	0.2276353	0.6016538	0.7493981	0.4156160	0.6208126
0.6891057	0.1386172	0.4537613	0.7476172	0.0827235	0.3004501	0.6386655	0.6910927	0.8119234	0.2645752
0.6046824	0.1231706	0.3287936	0.6047832	0.1464854	0.3258775	0.4967330	0.6496271	0.6140849	0.7481792
