"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.7536941	0.7179330	0.5502569	0.1551576	0.0574502	0.1134867	0.0362636	0.6234202	0.2428158	0.8082008
0.3205420	0.6879449	0.5033965	0.1750393	0.0838374	0.1041290	0.0665567	0.5830473	0.1172575	0.7247096
0.5941908	0.3611363	0.4190913	0.1970878	0.0380048	0.0248948	0.0183586	0.5004596	0.3956179	0.6763111
0.6152805	0.6447647	0.2366104	0.4005672	0.0437949	0.0734382	0.0140481	0.5047191	0.2387235	0.6518275
0.7265888	0.7872316	0.4068561	0.0879118	0.0381865	0.1043803	0.0229268	0.5244368	0.2396551	0.7262891
0.5555857	0.7654073	0.5023790	0.2327150	0.0241998	0.0557172	0.0154197	0.5245646	0.2136037	0.7839845
0.2607351	0.7055662	0.5981807	0.1615311	0.0336920	0.0233710	0.0403803	0.7898504	0.5030506	0.6389899
0.6999135	0.6382899	0.4545133	0.1350447	0.0539993	0.0619193	0.0165408	0.5634051	0.3905120	0.6722860
0.5745990	0.7618298	0.5459931	0.1815917	0.0461737	0.0625504	0.0648850	0.2435674	0.4332830	0.7913383
0.7373488	0.6757498	0.5149762	0.1213151	0.0504004	0.0600144	0.0061750	0.5792662	0.0531039	0.7143992
0.6080118	0.6354945	0.1595466	0.6909931	0.0380458	0.0268191	0.0402738	0.5873895	0.2790575	0.3549592
0.1959483	0.5824977	0.4324854	0.1691188	0.5052431	0.8473133	0.1040885	0.1992609	0.8985834	0.6556707
0.3630604	0.6502029	0.5221531	0.1270010	0.1457271	0.2075177	0.0583236	0.3600087	0.4463103	0.6302627
0.1728104	0.2367604	0.4793328	0.1648654	0.3671302	0.6706281	0.2471403	0.0920619	0.6739688	0.4646259
0.2357432	0.4621152	0.1839444	0.3491116	0.6209798	0.5822496	0.2349858	0.0885267	0.5239991	0.7560054
0.8614673	0.5679280	0.4664981	0.2077127	0.2550727	0.8024667	0.1189673	0.0885154	0.1961358	0.6164100
0.2723432	0.5061845	0.4236848	0.1766911	0.4576857	0.6236204	0.4032144	0.0869847	0.3022433	0.5556021
0.5125651	0.5804990	0.4759692	0.0621917	0.1566037	0.3818986	0.3217045	0.1486059	0.3169272	0.6592554
0.2455940	0.4452169	0.2633450	0.3098009	0.6584698	0.6082745	0.4346194	0.0461390	0.7206809	0.5807230
0.2100234	0.6541318	0.4273156	0.1504376	0.0146669	0.0015171	0.0104880	0.7477423	0.2548957	0.7280761
0.1519316	0.5903271	0.4868146	0.0213399	0.4729611	0.7140243	0.1174816	0.0889995	0.8080174	0.6552066
0.0000000	0.6730556	0.5102137	0.1288293	0.0392574	0.0290424	0.0083377	0.5978073	0.2790158	0.8647621
0.7182467	0.0000000	0.4892255	0.1758816	0.0312129	0.1300400	0.0248930	0.6042815	0.2775876	0.7490054
0.5650937	0.6928304	0.0000000	0.8745851	0.0351422	0.0630352	0.0554439	0.5664635	0.2059476	0.7467938
0.6653405	0.5924823	0.5105926	0.0000000	0.0408480	0.0352158	0.0272249	0.4608738	0.1672770	0.6962320
0.4730520	0.7341676	0.5342184	0.2333182	0.0000000	0.0839090	0.0161931	0.5893949	0.5413646	0.7888213
0.1190452	0.6228605	0.4951433	0.1101854	0.0813286	0.0000000	0.0139723	0.7897310	0.7614963	0.6630566
0.7388320	0.7323259	0.3984523	0.1598124	0.0348438	0.0656494	0.0000000	0.5069484	0.3111202	0.8246114
0.1631101	0.4208605	0.5512233	0.2234311	0.6884008	0.8032026	0.7685836	0.0000000	0.7752942	0.7771677
0.6311685	0.7374332	0.4107873	0.2082014	0.0396361	0.0454796	0.0180357	0.5961165	0.0000000	0.6735968
0.5798446	0.7366808	0.0302064	0.8077402	0.0458466	0.0582861	0.0043085	0.6491433	0.5238692	0.0000000
