"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
0.0000000	0.5703673	0.2341650	0.3905655	0.7314676	0.6889945	0.3708682	0.7451565	0.5438791	0.6978963
0.4383911	0.0000000	0.8039343	0.1589782	0.6123121	0.7340374	0.3448314	0.7074323	0.7321662	0.7134279
0.4983886	0.2315713	0.0000000	0.6900630	0.7341915	0.6280990	0.3174139	0.7214084	0.7663892	0.7310157
0.0950699	0.4671629	0.2786550	0.0000000	0.8830528	0.8269424	0.4012907	0.6202118	0.5999343	0.7694250
0.5764580	0.1241165	0.6843278	0.1819023	0.0000000	0.6604640	0.3938929	0.6185536	0.6198141	0.7186432
0.1955094	0.2802954	0.7153625	0.1743353	0.6381701	0.0000000	0.7543317	0.6156724	0.7441342	0.7762052
0.6703582	0.1636292	0.5509479	0.1890483	0.6666926	0.7385922	0.0000000	0.7207063	0.6733333	0.6851983
0.4604686	0.2102592	0.3336255	0.2403793	0.7285668	0.1003052	0.4566515	0.0000000	0.6121352	0.7589095
0.3838917	0.2252648	0.6406942	0.2196600	0.6333673	0.8323450	0.3729162	0.6853334	0.0000000	0.5559449
0.3958518	0.1763871	0.7975718	0.1722240	0.7496904	0.6943181	0.3954267	0.7049329	0.2836445	0.0000000
0.1944844	0.3673244	0.3439374	0.2747248	0.7987403	0.7444074	0.3401270	0.7592441	0.6299905	0.7012409
0.4067994	0.1435724	0.6925429	0.1560836	0.6009635	0.7077610	0.3707337	0.7188832	0.6450214	0.8184742
0.4527854	0.1960420	0.4207319	0.2171866	0.7510002	0.7751234	0.2841134	0.7853284	0.6281867	0.6847279
0.5144612	0.1502894	0.6476440	0.1351524	0.7904894	0.7989405	0.2770852	0.6241267	0.7177454	0.6925043
0.3852419	0.2062475	0.7625497	0.1384979	0.3871321	0.6125078	0.2742027	0.6575826	0.6373972	0.8356199
0.3227155	0.2791640	0.6464613	0.2433190	0.6062200	0.3429256	0.5270903	0.7032360	0.6374568	0.6885045
0.6014480	0.1464686	0.5789811	0.1985984	0.6900933	0.7321180	0.1631012	0.5996060	0.6891494	0.7618903
0.5763641	0.1571288	0.6857554	0.1876804	0.7327728	0.6550893	0.2095870	0.3822635	0.5959924	0.6923094
0.5619803	0.1751310	0.8226231	0.2088632	0.6742534	0.6128153	0.4373580	0.6981908	0.3654554	0.7075470
0.5394318	0.1980162	0.5951648	0.2039392	0.6902093	0.7641028	0.2833996	0.8437247	0.4969241	0.3460565
0.4413909	0.2219489	0.7194011	0.1560559	0.7564185	0.6905808	0.2857672	0.8605171	0.8159183	0.7140300
0.0835400	0.5827425	0.3246533	0.1856660	0.5673235	0.6038537	0.5533106	0.5072525	0.7754879	0.6974851
0.3988891	0.2326912	0.2610969	0.2894787	0.5452676	0.5195082	0.3289654	0.2420306	0.2960289	0.6494291
0.1242543	0.3775489	0.5757647	0.1365732	0.3762989	0.6380957	0.6547235	0.6136544	0.8041881	0.6798382
0.1678920	0.3056648	0.5975258	0.2227362	0.5711344	0.6018989	0.5624748	0.6221895	0.8842039	0.6243579
0.7765035	0.0320467	0.6017423	0.1786495	0.6321441	0.7362578	0.3358444	0.7367653	0.6408556	0.5104542
0.4064345	0.0690305	0.3918848	0.2236135	0.5845758	0.5489100	0.3611978	0.5979808	0.4205554	0.6997106
0.0480080	0.6261133	0.4641131	0.0274592	0.8501755	0.6930394	0.0320300	0.5118197	0.5395253	0.5872011
0.1809406	0.4079819	0.6597544	0.1208072	0.6914344	0.6757973	0.4932811	0.6955515	0.3800294	0.4767033
0.3562750	0.0810439	0.6944630	0.1815899	0.5285420	0.5920828	0.4772924	0.8672294	0.6500483	0.7145631
0.5389945	0.0385212	0.6990263	0.1240505	0.6375902	0.7380400	0.3766305	0.5668678	0.6021925	0.4322159
